test,answer,is_complete,t_wasp,t_solver,n_solver,n_paths,instructions
_build/array-fpi/ss4f.wat,False,False,0.04,0.0,0,1,44238
_build/array-fpi/ss2f.wat,False,False,0.04,0.0,0,1,34564
_build/array-fpi/ss3f.wat,False,False,0.19,0.0,0,1,509168
_build/array-fpi/ssinaf.wat,False,False,0.21,0.0,0,1,552130
_build/array-fpi/ss1f.wat,False,False,0.2,0.0,0,1,524694
_build/array-fpi/sqmf.wat,False,False,0.1,0.0,0,1,227716
_build/array-fpi/sqm-iff.wat,False,False,0.26,0.0,0,1,932958
_build/array-fpi/sina5f.wat,False,False,0.22,0.0,0,1,675534
_build/array-fpi/sina4f.wat,False,False,0.21,0.0,0,1,703312
_build/array-fpi/ssina.wat,True,False,895.15,0.537278,3,4,1127859961
_build/array-fpi/ss4.wat,True,False,895.19,0.550924,3,4,1329826593
_build/array-fpi/ss2.wat,True,False,895.2,0.574566,3,4,1081954248
_build/array-fpi/ss3.wat,True,False,895.23,0.406156,3,4,1259981359
_build/array-fpi/ss1.wat,True,False,895.23,0.577877,3,4,1385047156
_build/array-fpi/sqm.wat,True,False,895.23,0.371678,8,9,1364745478
_build/array-fpi/sqm-if.wat,True,False,895.21,0.351805,8,9,1308699376
_build/array-fpi/sina1f.wat,False,False,0.03,0.0,0,1,20284
_build/array-fpi/sina2f.wat,False,False,0.08,0.0,0,1,123880
_build/array-fpi/sina3f.wat,False,False,0.17,0.0,0,1,218080
_build/array-fpi/s5iff.wat,False,False,0.05,0.0,0,1,26542
_build/array-fpi/sina5.wat,True,False,895.12,0.199886,3,4,1149166666
_build/array-fpi/s5liff.wat,False,False,0.08,0.0,0,1,186456
_build/array-fpi/s4liff.wat,False,False,0.07,0.0,0,1,138994
_build/array-fpi/s52iff.wat,False,False,0.1,0.0,0,1,172604
_build/array-fpi/s4iff.wat,False,False,0.06,0.0,0,1,67510
_build/array-fpi/sina4.wat,True,False,895.1,0.100269,3,4,1220731534
_build/array-fpi/s42iff.wat,False,False,0.08,0.0,0,1,161916
_build/array-fpi/sina3.wat,True,False,895.09,0.068711,3,4,1277424816
_build/array-fpi/s3liff.wat,False,False,0.1,0.0,0,1,223926
_build/array-fpi/s4if.wat,Crash,False,319.31,0.0,0,0,0
_build/array-fpi/s3iff.wat,False,False,0.1,0.0,0,1,204070
_build/array-fpi/s32if.wat,Crash,False,429.2,0.0,0,0,0
_build/array-fpi/s32iff.wat,False,False,0.12,0.0,0,1,244748
_build/array-fpi/s3lif.wat,Crash,False,781.27,0.0,0,0,0
_build/array-fpi/s2liff.wat,False,False,0.08,0.0,0,1,124006
_build/array-fpi/sina2.wat,True,False,895.12,0.230401,3,4,1365787788
_build/array-fpi/s5lif.wat,True,False,895.05,105.107734,11,12,64868368
_build/array-fpi/s2iff.wat,False,False,0.09,0.0,0,1,201794
_build/array-fpi/sina1.wat,True,False,895.17,0.165327,3,4,1595081317
_build/array-fpi/s22iff.wat,False,False,0.04,0.0,0,1,44348
_build/array-fpi/s52if.wat,True,False,895.17,0.110924,4,5,1348537155
_build/array-fpi/s5if.wat,True,False,895.19,0.078033,3,4,1616354352
_build/array-fpi/s4lif.wat,True,False,895.14,0.07539,3,4,1420408222
_build/array-fpi/s1liff.wat,False,False,0.12,0.0,0,1,241412
_build/array-fpi/s1iff.wat,False,False,0.1,0.0,0,1,169930
_build/array-fpi/s12iff.wat,False,False,0.07,0.0,0,1,161916
_build/array-fpi/s42if.wat,True,False,895.14,0.085368,3,4,1346077058
_build/array-fpi/res2of.wat,False,False,0.26,0.0,0,1,715728
_build/array-fpi/res2f.wat,False,False,0.08,0.0,0,1,154494
_build/array-fpi/s3if.wat,True,False,895.13,0.065752,3,4,1593552738
_build/array-fpi/res1o.wat,Crash,False,698.6,0.0,0,0,0
_build/array-fpi/res1of.wat,False,False,0.22,0.0,0,1,523616
_build/array-fpi/res1f.wat,False,False,0.08,0.0,0,1,166284
_build/array-fpi/s2lif.wat,True,False,895.12,0.170982,3,4,1428591565
_build/array-fpi/pcompf.wat,False,False,0.32,0.0,0,1,839220
_build/array-fpi/s2if.wat,True,False,895.15,0.113322,3,4,1607107465
_build/array-fpi/s22if.wat,True,False,895.1,0.054959,3,4,1374727184
_build/array-fpi/nsqm-iff.wat,False,False,0.05,0.0,0,1,86784
_build/array-fpi/s1lif.wat,True,False,895.11,0.056095,3,4,1441494226
_build/array-fpi/s1if.wat,True,False,895.17,0.130436,3,4,1636187199
_build/array-fpi/s12if.wat,True,False,895.15,0.067617,3,4,1343150925
_build/array-fpi/nsqmf.wat,False,False,0.21,0.0,0,1,566404
_build/array-fpi/res2.wat,True,False,895.14,0.060625,1,2,1143657742
_build/array-fpi/ms5f.wat,False,False,0.06,0.0,0,1,126364
_build/array-fpi/res2o.wat,True,False,895.14,0.298466,7,8,1149641050
_build/array-fpi/ms4f.wat,False,False,0.08,0.0,0,1,220620
_build/array-fpi/ms3f.wat,False,False,0.08,0.0,0,1,157052
_build/array-fpi/ncompf.wat,False,False,0.38,0.0,0,1,1087036
_build/array-fpi/ms2f.wat,False,False,0.04,0.0,0,1,58225
_build/array-fpi/res1.wat,True,False,895.12,2.236424,17,18,1379779857
_build/array-fpi/ms1f.wat,False,False,0.07,0.0,0,1,158735
_build/array-fpi/ms4.wat,Crash,False,636.15,0.0,0,0,0
_build/array-fpi/modsf.wat,False,False,0.57,0.248246,8,9,381051
_build/array-fpi/pcomp.wat,True,False,895.13,0.446438,6,7,1105353495
_build/array-fpi/modpf.wat,False,False,0.08,0.0,0,1,164496
_build/array-fpi/nsqm.wat,True,False,895.12,1.296934,11,12,1252038754
_build/array-fpi/modnf.wat,False,False,0.04,0.0,0,1,7972
_build/array-fpi/nsqm-if.wat,True,False,895.3,0.964792,6,7,1199161843
_build/array-fpi/indp5f.wat,False,False,0.15,0.0,0,1,263854
_build/array-fpi/ncomp.wat,True,False,895.11,1.052583,6,7,1090199648
_build/array-fpi/indp4f.wat,False,False,0.1,0.0,0,1,168646
_build/array-fpi/ms5.wat,True,False,895.15,0.061752,3,4,1576701780
_build/array-fpi/ms3.wat,True,False,895.13,0.261399,4,5,1610082214
_build/array-fpi/indp3f.wat,False,False,0.12,0.0,0,1,234300
_build/array-fpi/ms2.wat,True,False,895.12,0.3553,8,9,36289690
_build/array-fpi/indp2f.wat,False,False,0.18,0.0,0,1,502936
_build/array-fpi/ms1.wat,True,False,895.05,222.951474,38,39,99361167
_build/array-fpi/indp1.wat,False,False,0.1,0.0,0,1,233823
_build/array-fpi/indp1f.wat,False,False,0.06,0.0,0,1,85588
